Benchmark,Implementation,Threads,Time,Memory
mem,dirty,4,1182.5,264921
mem,dirty,6,1266,264915
mem,dirty,8,1457.75,264970
mem,dirty,10,1505.75,264992
mem,dirty,12,1673,265026
mem,dirty,14,1946.25,265036
mem,dirty,16,1972,265028
mem,epoch,2,1007,53311
mem,epoch,4,1182.75,37667
mem,epoch,6,1163,32998
mem,epoch,8,1294.75,31117
mem,epoch,10,1322.5,44593
mem,epoch,12,1343.25,50873
mem,epoch,14,1415.75,46789
mem,epoch,16,1487.75,54831
